filing|tech_field|variable|patents|mean|std_dev|kurtosis|skewness|min|p1|p10|p25|p50|p75|p90|p99|max
1978|1|"bwd_cits"|201|4.900497|2.782094|2.653785|.1336808|0|0|1|3|5|7|9|11|13
1978|2|"bwd_cits"|39|4.897436|3.697758|3.806698|1.085098|0|0|1|2|4|7|11|15|15
1978|3|"bwd_cits"|32|3.6875|3.115388|3.594719|1.121904|0|0|0|2|3|5|8|12|12
1978|4|"bwd_cits"|8|1.5|3.070598|5.848485|2.152233|0|0|0|0|.5|1|9|9|9
1978|5|"bwd_cits"|11|3.545455|2.339386|2.485673|.2347926|0|0|1|1|4|5|6|8|8
1978|6|"bwd_cits"|19|3.526316|3.717353|3.074251|1.091676|0|0|0|1|2|6|11|12|12
1978|8|"bwd_cits"|107|3.242991|2.338525|5.024027|1.096825|0|0|1|2|3|4|6|10|13
1978|9|"bwd_cits"|167|4.976048|3.222571|4.359366|.9402626|0|0|1|3|4|7|9|16|17
1978|10|"bwd_cits"|100|3.65|2.768419|2.929883|.5330002|0|0|0|2|3|5|7.5|11.5|12
1978|11|"bwd_cits"|10|3.3|2.790858|2.099908|.2566816|0|0|0|0|3.5|4|7.5|8|8
1978|12|"bwd_cits"|52|4.884615|3.160131|3.00175|.5661352|0|0|1|3|5|7|9|13|13
1978|13|"bwd_cits"|111|4.972973|4.05969|4.267694|1.151411|0|0|0|2|4|7|10|17|18
1978|14|"bwd_cits"|656|2.916158|3.059808|55.04305|5.288737|0|0|0|1|2|4|6|13|42
1978|15|"bwd_cits"|51|1.921569|1.820364|5.706342|1.362887|0|0|0|1|2|3|4|9|9
1978|16|"bwd_cits"|183|2.387978|2.556454|9.228892|2.133534|0|0|0|1|2|4|5|14|14
1978|17|"bwd_cits"|417|3.35012|2.269617|10.18866|1.783834|0|0|1|2|3|4|6|11|19
1978|18|"bwd_cits"|13|4.923077|2.812518|2.302989|.0581337|0|0|2|3|5|6|8|10|10
1978|19|"bwd_cits"|164|3.737805|2.74446|6.112064|1.366911|0|0|1|2|3|5|7|15|16
1978|20|"bwd_cits"|116|4.913793|2.905973|4.784552|.8823168|0|0|1|3|5|6|9|15|15
1978|21|"bwd_cits"|51|3.901961|2.655221|2.677032|.4237595|0|0|0|2|4|6|7|10|10
1978|23|"bwd_cits"|117|4.692307|3.853931|4.450999|1.160356|0|0|0|2|4|6|11|18|18
1978|24|"bwd_cits"|49|4.571429|2.66927|3.335539|.6801916|0|0|1|3|5|6|8|12|12
1978|25|"bwd_cits"|189|4.507936|3.21833|9.661472|1.711932|0|0|1|2|4|6|9|21|22
1978|26|"bwd_cits"|115|5.052174|3.440837|3.841187|.7354807|0|0|0|3|5|7|9|15|16
1978|27|"bwd_cits"|73|4.808219|4.620779|11.91235|2.26159|0|0|0|2|4|6|9|29|29
1978|28|"bwd_cits"|93|4.172043|3.289058|6.312409|1.621685|0|0|1|2|4|5|7|16|16
1978|29|"bwd_cits"|159|4.874214|3.125522|3.255738|.6522694|0|0|1|3|4|7|9|13|16
1978|30|"bwd_cits"|92|6.01087|4.141706|3.501356|.6006444|0|0|0|3|5|9|11|21|21
1978|31|"bwd_cits"|148|4.439189|3.326305|5.836623|1.176887|0|0|0|2|4|6|9|15|20
1978|32|"bwd_cits"|136|5.154412|3.813968|3.555549|.8433015|0|0|0|2|5|7.5|10|17|17
1978|33|"bwd_cits"|54|5.481482|4.151566|3.451994|.9317025|0|0|1|3|5|7|11|17|17
1978|34|"bwd_cits"|31|5.645161|3.817053|1.849791|-.011161|0|0|0|3|6|9|10|13|13
1978|35|"bwd_cits"|138|5.557971|4.623043|11.81975|2.194045|0|0|0|3|5|7|11|22|33
1979|1|"bwd_cits"|670|5.134328|3.225902|7.514783|1.322933|0|0|2|3|5|7|9|15|27
1979|2|"bwd_cits"|290|4.144827|2.910378|17.92537|2.340744|0|0|1|2|4|5|7|12|28
1979|3|"bwd_cits"|192|3.953125|2.725273|3.681081|.8538812|0|0|1|2|3.5|6|7|13|13
1979|4|"bwd_cits"|65|3.553846|2.733077|4.606285|1.299385|0|0|1|2|3|5|8|13|13
1979|5|"bwd_cits"|133|3.684211|2.58307|3.202359|.7962152|0|0|1|2|3|5|7|10|12
1979|6|"bwd_cits"|231|4.298701|3.599752|4.044125|1.168764|0|0|1|2|3|6|10|16|16
1979|7|"bwd_cits"|2|3.5|4.949748|1|0|0|0|0|0|3.5|7|7|7|7
1979|8|"bwd_cits"|247|3.708502|2.651133|5.509555|1.227689|0|0|1|2|3|5|7|14|15
1979|9|"bwd_cits"|359|4.760446|2.827142|4.099296|.8045396|0|0|1|3|4|6|8|14|16
1979|10|"bwd_cits"|495|4.604041|2.810619|6.314335|1.003764|0|0|1|3|5|6|8|13|22
1979|11|"bwd_cits"|83|4.144578|2.803015|6.406075|1.391837|0|0|1|2|4|5|7|16|16
1979|12|"bwd_cits"|165|4.224242|2.949476|7.000958|1.232668|0|0|0|2|4|6|8|12|20
1979|13|"bwd_cits"|349|5.226361|3.388248|3.26059|.5132732|0|0|0|3|5|7|10|14|19
1979|14|"bwd_cits"|1449|3.146308|2.624916|12.1971|2.119441|0|0|1|1|3|4|6|12|24
1979|15|"bwd_cits"|134|2.708955|2.539388|5.010837|1.354594|0|0|0|1|2|4|6|12|12
1979|16|"bwd_cits"|419|2.856802|2.568398|7.935465|1.749559|0|0|0|1|2|4|6|11|17
1979|17|"bwd_cits"|846|3.884161|2.445294|5.74975|1.274807|0|0|1|2|3.5|5|7|12|17
1979|18|"bwd_cits"|112|5.473214|3.443128|4.675547|1.034228|0|0|2|3|5|7|10|16|19
1979|19|"bwd_cits"|570|4.180702|2.691648|6.191535|1.324959|0|0|1|2|4|5|8|13|19
1979|20|"bwd_cits"|435|5.195402|2.855341|4.401276|.7122219|0|0|2|3|5|7|9|13|19
1979|21|"bwd_cits"|241|4.352697|3.116502|12.07076|2.143858|0|0|1|2|4|5|8|14|25
1979|23|"bwd_cits"|390|5.092308|3.289258|3.614198|.7098547|0|0|1|3|5|7|10|15|17
1979|24|"bwd_cits"|164|4.902439|2.999426|4.107609|.764725|0|0|1|3|4.5|6|9|15|16
1979|25|"bwd_cits"|498|4.516064|3.079226|6.297876|1.253521|0|0|1|2|4|6|9|14|23
1979|26|"bwd_cits"|443|5.031603|3.293885|4.879373|.9733272|0|0|1|3|5|7|9|15|20
1979|27|"bwd_cits"|334|5.308383|3.528195|3.535207|.6386396|0|0|0|3|5|7|10|16|17
1979|28|"bwd_cits"|416|4.144231|2.976756|8.651133|1.603307|0|0|1|2|4|6|8|13|24
1979|29|"bwd_cits"|518|5.696911|3.948757|15.16364|2.279284|0|0|2|3|5|7|10|18|38
1979|30|"bwd_cits"|302|5.907285|3.736061|6.364744|1.179325|0|0|2|4|5|8|10|17|26
1979|31|"bwd_cits"|530|5.416981|3.519013|3.356148|.6327119|0|0|1|3|5|7|10|15|18
1979|32|"bwd_cits"|435|5.245977|3.329342|4.312488|.879147|0|0|1|3|5|7|9|15|19
1979|33|"bwd_cits"|212|4.622642|3.276956|10.92138|1.736696|0|0|0|3|4|6|8|13|26
1979|34|"bwd_cits"|175|5.331429|3.666231|2.537522|.425992|0|0|0|3|5|8|10|14|17
1979|35|"bwd_cits"|487|5.49692|3.584301|4.029065|.8408446|0|0|1|3|5|7|10|17|19
1980|1|"bwd_cits"|1222|5.02455|2.970406|5.431961|1.052416|0|0|2|3|5|7|9|15|23
1980|2|"bwd_cits"|520|4.844231|3.120071|3.704257|.8188639|0|0|1|3|4|6|9|14|17
1980|3|"bwd_cits"|358|4.363129|3.121621|19.52723|2.514788|0|0|1|2|4|6|8|12|32
1980|4|"bwd_cits"|145|3.848276|2.472996|4.692832|1.067735|0|0|1|2|4|5|7|11|14
1980|5|"bwd_cits"|282|3.737589|2.657549|7.812105|1.57603|0|0|1|2|3|5|7|13|19
1980|6|"bwd_cits"|466|3.929184|3.182838|4.653915|1.176318|0|0|1|2|3|6|9|13|20
1980|7|"bwd_cits"|6|9.833333|5.115336|2.753749|.9893602|5|5|5|6|8.5|12|19|19|19
1980|8|"bwd_cits"|470|3.36383|2.218735|5.354187|1.15814|0|0|1|2|3|4|6|10|15
1980|9|"bwd_cits"|673|4.444279|3.128251|15.00204|1.904549|0|0|1|2|4|6|8|13|34
1980|10|"bwd_cits"|950|4.285263|2.695993|5.052683|.9509116|0|0|1|2|4|6|7.5|13|18
1980|11|"bwd_cits"|105|4.27619|3.238872|12.97845|2.309778|0|0|1|2|4|6|8|15|23
1980|12|"bwd_cits"|263|4.562737|2.704756|3.04229|.4435911|0|0|1|3|4|6|8|12|14
1980|13|"bwd_cits"|565|5.366372|3.869585|6.743878|1.162837|0|0|0|3|5|7|10|19|30
1980|14|"bwd_cits"|1786|3.175252|2.497073|10.72203|1.924118|0|0|1|1|3|4|6|12|26
1980|15|"bwd_cits"|286|3.188811|2.86773|8.424513|1.761119|0|0|0|1|3|4|6|14|20
1980|16|"bwd_cits"|496|3.135081|2.581969|7.928259|1.589621|0|0|0|1|3|4|6|13|19
1980|17|"bwd_cits"|1046|3.503824|2.249398|6.258289|1.266603|0|0|1|2|3|5|6|10|17
1980|18|"bwd_cits"|167|5.886228|4.054477|5.035735|1.154821|0|0|1|3|5|8|10|19|22
1980|19|"bwd_cits"|928|4.21444|2.850902|7.200342|1.437619|0|0|1|2|4|5|8|14|25
1980|20|"bwd_cits"|722|5.355956|3.206599|4.132958|.8036713|0|0|1|3|5|7|9|16|18
1980|21|"bwd_cits"|382|4.662303|2.819801|5.326556|1.012376|0|0|1|3|4|6|8|13|19
1980|23|"bwd_cits"|701|5.025678|3.224358|4.762395|.8954625|0|0|1|3|5|7|9|14|20
1980|24|"bwd_cits"|256|5.292969|3.420255|3.363528|.5252758|0|0|0|3|5|8|9|14|18
1980|25|"bwd_cits"|746|4.760054|3.219915|3.574376|.7192928|0|0|1|2|4|7|9|13|19
1980|26|"bwd_cits"|648|5.217593|3.34015|3.331348|.6958578|0|0|1|3|5|7|10|15|18
1980|27|"bwd_cits"|629|5.335453|3.322434|3.3055|.5027893|0|0|1|3|5|7|10|14|18
1980|28|"bwd_cits"|678|4.215339|2.750201|6.199198|1.253484|0|0|1|2|4|6|7|13|19
1980|29|"bwd_cits"|889|5.426322|3.797436|53.93047|3.957999|0|0|1|3|5|7|10|14|61
1980|30|"bwd_cits"|473|5.852008|3.717127|3.865562|.8109874|0|0|1|3|5|8|11|17|21
1980|31|"bwd_cits"|771|5.907912|3.626107|5.036364|.8902128|0|0|1|3|6|8|10|17|25
1980|32|"bwd_cits"|686|4.844023|3.319553|5.969958|1.141418|0|0|1|3|5|7|9|15|24
1980|33|"bwd_cits"|342|4.640351|3.337674|8.129728|1.201026|0|0|0|2|4|7|8|14|27
1980|34|"bwd_cits"|336|5.142857|3.407254|3.071|.6421195|0|0|1|3|5|7|10|14|16
1980|35|"bwd_cits"|732|5.113388|3.668849|4.83467|1.058754|0|0|0|3|5|7|10|17|22
1981|1|"bwd_cits"|1526|4.621887|2.783656|7.317251|1.329182|0|0|2|3|4|6|8|14|26
1981|2|"bwd_cits"|691|4.357453|2.813196|7.03925|1.334747|0|0|1|2|4|6|8|13|20
1981|3|"bwd_cits"|438|3.997717|2.779871|19.79978|2.355804|0|0|1|2|4|5|7|11|30
1981|4|"bwd_cits"|129|3.20155|2.251318|5.413479|1.211547|0|0|1|2|3|4|6|11|12
1981|5|"bwd_cits"|345|3.486957|2.502436|5.364159|1.036461|0|0|1|2|3|5|7|11|17
1981|6|"bwd_cits"|626|3.158147|2.360116|5.21997|1.268584|0|0|1|1|3|4|6|12|13
1981|7|"bwd_cits"|4|3.25|1.5|2.333333|-1.154701|1|1|1|2.5|4|4|4|4|4
1981|8|"bwd_cits"|527|2.963947|2.161852|9.413999|1.627454|0|0|1|1|3|4|5|9|19
1981|9|"bwd_cits"|791|3.984829|2.71233|10.62102|1.483503|0|0|1|2|4|5|7|13|27
1981|10|"bwd_cits"|1177|4.265081|2.758921|16.48982|1.767749|0|0|1|2|4|6|7|12|35
1981|11|"bwd_cits"|133|4.541353|2.877581|3.71946|.8418181|0|0|1|3|4|6|8|13|13
1981|12|"bwd_cits"|344|4.084302|2.70867|4.88138|.7534359|0|0|0|2|4|6|7|11|19
1981|13|"bwd_cits"|721|4.943134|3.244369|3.710041|.6367696|0|0|1|3|5|7|9|14|20
1981|14|"bwd_cits"|2091|3.109995|2.328182|10.86173|1.834388|0|0|1|1|3|4|6|11|23
1981|15|"bwd_cits"|360|2.777778|2.480128|6.44629|1.321634|0|0|0|1|2|4|6|10|18
1981|16|"bwd_cits"|648|3.070988|2.605052|7.313294|1.685035|0|0|0|1|3|4|6|13|17
1981|17|"bwd_cits"|1279|3.657545|2.452045|10.30271|1.780895|0|0|1|2|3|5|7|12|22
1981|18|"bwd_cits"|253|4.893281|3.674299|4.940093|1.208153|0|0|1|3|4|7|10|15|22
1981|19|"bwd_cits"|1029|4.076774|2.822391|10.80161|1.78478|0|0|1|2|4|5|8|13|28
1981|20|"bwd_cits"|772|4.843264|2.979836|10.58753|1.482673|0|0|1|3|5|6|9|12|28
1981|21|"bwd_cits"|562|4.145907|2.719847|5.624341|1.20007|0|0|1|2|4|6|7|13|18
